Start,Energy
2019-08-20,1354.119
2019-08-21,1508.086880554
2019-08-22,1373.7847675
2019-08-23,1335.514440562
2019-08-24,97.107
2019-08-25,97.178
2019-08-26,1536.365
2019-08-27,1397.685543608
2019-08-28,1506.613530765
2019-08-29,1412.9561241659999
2019-08-30,682.7090000000001
2019-08-31,122.057
2019-09-01,62.289
2019-09-02,251.413
2019-09-03,1497.096
2019-09-04,1426.19515417
2019-09-05,1478.69043
2019-09-06,1470.253
2019-09-07,117.167
2019-09-08,129.603
2019-09-09,1663.983428884
2019-09-10,1216.839626045
2019-09-11,1428.873603056
2019-09-12,1419.784
2019-09-13,706.765
2019-09-14,183.674
2019-09-15,87.9645575
2019-09-16,1496.98770389
2019-09-17,1236.97557972
2019-09-18,1594.519106389
2019-09-19,1461.729569722
2019-09-20,1631.54614889
2019-09-21,99.05799999999999
2019-09-22,114.894
2019-09-23,1608.7069999999999
2019-09-24,1367.83831556
2019-09-25,1261.952118611
2019-09-26,1532.812
2019-09-27,849.481
2019-09-28,74.975
2019-09-29,133.191086667
2019-09-30,1487.973199449
2019-10-01,1493.66590417
2019-10-02,1500.309
2019-10-03,1500.45251528
2019-10-04,1558.745
2019-10-05,151.591
2019-10-06,35.522999999999996
2019-10-07,1664.7329275
2019-10-08,1412.539
2019-10-09,1465.762165556
2019-10-10,1518.788477334
2019-10-11,589.0219999999999
2019-10-12,274.404
2019-10-13,133.16
2019-10-14,1410.201
2019-10-15,1387.14
2019-10-16,1458.13959648
2019-10-17,1355.733626111
2019-10-18,1527.853
2019-10-19,136.4
2019-10-20,188.534
2019-10-21,1654.107
2019-10-22,1665.83
2019-10-23,1573.959
2019-10-24,1548.942234767
2019-10-25,859.851
2019-10-26,240.311
2019-10-27,326.845
2019-10-28,1843.383059737
2019-10-29,1494.566158611
2019-10-30,1628.677
2019-10-31,1500.821255274
2019-11-01,1721.188557782
2019-11-02,169.054
2019-11-03,212.207
2019-11-04,1759.839
2019-11-05,1304.783
2019-11-06,1500.9
2019-11-07,1481.1129213899999
2019-11-08,947.034626944
2019-11-09,108.937
2019-11-10,264.78000000000003
2019-11-11,1564.160163859
2019-11-12,1658.88173389
2019-11-13,1361.345415833
2019-11-14,1392.804341866
2019-11-15,1582.36
2019-11-16,264.602403333
2019-11-17,196.040993611
2019-11-18,1607.806499722
2019-11-19,1355.116011111
2019-11-20,1812.698
2019-11-21,1534.831
2019-11-22,989.21429222
2019-11-23,71.542
2019-11-24,163.397
2019-11-25,1480.773094722
2019-11-26,1392.90676861
2019-11-27,924.505
2019-11-28,49.701
2019-11-29,129.537
2019-11-30,39.178
2019-12-01,105.22572806000001
2019-12-02,1714.88886417
2019-12-03,1527.372797225
2019-12-04,1560.663
2019-12-05,324.01800000000003
2019-12-06,362.881
2019-12-07,109.96000000000001
2019-12-08,86.534
2019-12-09,473.085
2019-12-10,456.772
2019-12-11,1667.10429361
2019-12-12,1452.993717778
2019-12-13,1631.232873252
2019-12-14,169.25300000000001
2019-12-15,161.839
2019-12-16,1850.38
2019-12-17,1409.732791944
2019-12-18,1527.22497055
2019-12-19,1533.980989722
2019-12-20,519.711
2019-12-21,82.104
2019-12-22,155.978
2019-12-23,1274.567416119
2019-12-24,643.978
2019-12-25,0.0
2019-12-26,136.77834722199998
2019-12-27,822.835
2019-12-28,101.845
2019-12-29,56.344
2019-12-30,1354.657
2019-12-31,788.15
2020-01-01,91.507
2020-01-02,1196.472
2020-01-03,310.60699999999997
2020-01-04,93.611395278
2020-01-05,77.758
2020-01-06,1649.23513972
2020-01-07,1453.17545333
2020-01-08,1416.2810550039999
2020-01-09,1533.892
2020-01-10,1331.314316389
2020-01-11,118.422
2020-01-12,176.314
2020-01-13,1769.92911306
2020-01-14,1508.707551943
2020-01-15,1732.297560556
2020-01-16,1596.757
2020-01-17,813.99
2020-01-18,37.609
2020-01-19,74.205
2020-01-20,256.174
2020-01-21,1642.077
2020-01-22,1586.598
2020-01-23,1460.5810000000001
2020-01-24,1378.927
2020-01-25,149.99
2020-01-26,99.391
2020-01-27,1505.592267778
2020-01-28,1514.024935278
2020-01-29,1478.088
2020-01-30,1485.366
2020-01-31,999.074206944
2020-02-01,164.174
2020-02-02,136.66500000000002
2020-02-03,1352.5933808300001
2020-02-04,1148.70042833
2020-02-05,1294.77568139
2020-02-06,1400.522
2020-02-07,1300.772
2020-02-08,142.376
2020-02-09,89.596817222
2020-02-10,1629.631
2020-02-11,1533.018
2020-02-12,1494.475706944
2020-02-13,1621.640200556
2020-02-14,762.013
2020-02-15,108.901
2020-02-16,66.821
2020-02-17,186.348
2020-02-18,1536.281
2020-02-19,1407.243
